codigo_lista,sp1,sp2,sp3,sp4,sp5,sp6,sp7,sp8,sp9,sp10
oscar_ferrer_a_5,Chajá,Tero,Garza Blanca Grande,Tero Real,Cigüeña Común,Carao,Caracolero,Playerito Pecho Gris,Benteveo,Hornero
oscar_ferrer_a_6,Lechucita de Campo,Tero,Hornero,Viudita Blanca Chica,Golondrina Parda,Chajá ,Cotorra,,,
silvia_sayanes_1,Pirincho,Chimango ,Paloma Ala Manchada,Tijereta,Golondrina Azul Grande,Tero,Paloma de Monte,Garza Mora,Estornino,Lechucita de Campo
silvia_sayanes_2,Viudita Blanca Chica,Tero,Escarchero,Carpintero Nuca Roja,Tijereta,Carancho,Hornero,Carpintero de Campo,Tordo Común,Benteveo
silvia_sayanes_3,Calandria,Torcaza,Churrinche,Dorado,Hornero,Cotorra,Garza Blanca Grande,Viudita Blanca Chica,Chingolo,Benteveo
silvia_sayanes_4,Churrinche ,Naranjero,Chajá,Tordo Común,Ratonera,Carpintero de Campo,Zorzal,Dorado,Churrinche,Paro Cara Blanca
silvia_sayanes_5,Pato Barcino,Golondrina Parda,Garza Blanca Chica,Misto,Tero,Playerito Menor,Chorlo Pampa,Playerito Patas Amarillas Grande,Playerito Pecho Gris,Torcaza
silvia_sayanes_6,Gavilán Alilargo,Ñandú,Golondrina Ceja Blanca,Golondrina Tijereta,Hornero,Chorlo Pampa,Becasina Común,Garza Amarilla,Pico de Plata,Espinero
silvia_sayanes_7,Bandurria Mora,Cotorra,Hornero,Chorlo Pampa,Chajá,Cigüeña Común,Pico de Plata,Cachirla Chica,Cuervillo de Cañada,Junquero
silvia_sayanes_8,Curutié Colorado,Misto,Garza Blanca Grande,Becasina Común,Pecho Amarillo,Chingolo,Espinero,Tijereta ,Sietevestidos ,Picaflor Bronceado
silvia_sayanes_9,Cardenal Copete Rojo,Pcaflor Garganta Blanca,Tiqui tiqui Oscuro,Batará Pardo,Fío-fío Pico Corto,Calandria,Churrinche,Dorado,Gargantillo,Arañero Cara Negra
silvia_sayanes_10,Vinchero,Paloma de Monte,Benteveo,Benteveo Real,Gallineta ,Pitiayumí,Misto,Ratonera,Chajá,Pirincho
silvia_sayanes_11,Perdiz,Pirincho,Carpintero de Campo,Chajá,,,,,,
sebastian_servetto_a_1,Zorzal,Chingolo,Chaja,Misto,Chorlo pampa ,Tero,Pico de plata,Caracolero,Churrinche,Fío fío pico corto 
sebastian_servetto_a_2,Misto,Ratonera,Tío tío chico,Cotorra,Pico de plata,Cachirla chica,Chaja ,Benteveo,Chimango ,Picabuey
sebastian_servetto_a_3,Tero,Benteveo,Cardenal copete rojo,Carpintero nuca roja,Vinchero,Cotorra,Cachirla chica,Chorlo pampa,Churrinche,Playerito canela
sebastian_servetto_a_4,Cachirla chica,Misto,Chaja,Dorado,Chorlo pampa ,Benteveo real,Playerito canela ,Golondrina tijereta,Churrinche ,Golondrina ceja blanca
sebastian_servetto_a_5,Playerito canela,Viudita,Dorado,Misto,Benteveo,Golondrina tijereta,Cachirla chica,Chaja,Tero,Chimango
sebastian_servetto_a_6,Tero,Cachirla chica,Cuervillo de cañada,Pisos de monte,Hornero,Cotorra,Playerito canela,Chorlo dorado,Dorado ,Cuervillo cara pelada
sebastian_servetto_a_7,Tero,Chimango,Torcaza,Cotorra,Dorado ,Hornero,Cardenal copete rojo,,,
sebastian_servetto_b_1,Churrinche ,Carpintero de Campo,Chorlo Pampa,Cachirla Ind,Tordo Común,Estornino,Tero,Pico de plata,Chorlo Canela,Chingolo
sebastian_servetto_b_2,Tero,Tordo comun,Chorlo Pampa,garza blanca chica,playerito canela,garza blanca grande,cigueña comun,espatula rosada,Playerito pecho gris,Pico de plata
sebastian_servetto_b_3 ,Tero,Benteveo,Coscoroba,Cuervillo De Cañada,Cuervillo cara pelada,Chorlo pampa,Caracolero,Pato capuchino,Garza mora,Playerito canela
sebastian_servetto_b_4,Bigua ,Pato capuchino,Chaja,Golondrina tijereta,Chorlo pampa ,Benteveo ,Playerito canela,Playero patas amarillas mayor,Garza blanca chica,Playerito pecho gris
sebastian_servetto_b_5,Golondrina azul chica,Chorlo dorado,Playero pecho gris,Golondrina azul grande,Golondrina parda grande,cachirla chica,Playerito pecho gris,Playerito canela,Cigueña comun,Cuervillo cara pelada
sebastian_servetto_b_6,Chorlo dorado,Playerito canela,Cachirla chica ,Benteveo,Golondrina parda grande,Pirincho,cigueña comun,Cuervillo cara pelada,Tero,Gaviota capucho gris
sebastian_servetto_b_7,Playerito Menor patas amarillas,Cachirla chica,Chorlo dorado,Playerito pecho gris,Carancho,Chimango,Chaja,Golondrina azul grande,Golondrina Ceja blanca,Misto
sebastian_servetto_b_8,Cachirla chica,Playerito Pecho Gris,Chimango,Tero Real,Garza blanca chica,Chorlo dorado,Pato cara blanca,Cardenal copete rojo,Carao,Garza mora
sebastian_servetto_b_9,Chaja,Halconcito comun,Cigueña comun,Playerito menor patas amarillas,Chorlo dorado,Carao,Pato barcino,Pato brasilero,Pato capuchino,Jacana
sebastian_servetto_b_10,Pico de plata,Chorlo dorado,Garza blanca grande,Garza bruja,Tordo comun,Cuervillo cara pelada,Tiquitiqui oscuro,Playerito pecho gris,Playerito menor patas amarillas,Tero
sebastian_servetto_b_11,Cachirla chica,Chorlo dorado,Playerito canela,Benteveo,Garza blanca grande,Cuervillo de cañada,Golondrina tijereta,Playerito pecho gris,Tero,Cotorra
sebastian_servetto_b_12,Bandurria Mora,Tero,Chorlo dorado,Cigueña comun,Cachirla chica,Golondrina tijereta,Golondrina ceja blanca,Cotorra,Playerito canela,Cuervillo de cañada
sebastian_servetto_b_13,Chorlo dorado,Playerito canela,Benteveo,Tero Real,Golondrina tijereta,Golondrina parda grande,Pirincho,Golondrina azul chica,Pecho amarillo,Cachirla chica
sebastian_servetto_b_14,Cachirla chica,Pico de plata,Bigua,Benteveo,Chorlo dorado,Cotorra,Cuervillo de cañada,Golondrina tijereta,Cuervillo cara pelada,Garza blanca grande
sebastian_servetto_b_15,Cigueña cara pelada,Garza blanca chica,Pirincho,Bigua,Benteveo,Carancho,Chaja,Chorlo dorado,Cigueña comun,Playerito canela
sebastian_servetto_b_16,Chorlo dorado,Tero,Golondrina parda grande,Hornero,Cotorra,Tijereta,Pirincho,Playerito canela,Benteveo ,Doradito
nicodella_1,Pirincho,Tero,Cotorra,Churrinche,Picabuey,Benteveo,Tijereta,Chingolo,Cardenal copete rojo,Dorado
nicodella_2,Paloma de monte,Cotorra,Hronero,Viudita blanca comun,Benteveo,Estornino,Chingolo,Tordo comun,Cardenal copete rojo,Dorado
